from,to,date_from,date_to,place_from
"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",The Admiral of France,16010701,16010731,NA
T.B.,"Sir William Cecil, Lord Burghley",15980101,15981231,NA
Sir William Fitzwilliam,Privy Council,15900910,15900910,Kilmainham
Isaac Wythers,Queen Elizabeth I,15980228,15980310,Paris
Queen Mary I,Officers of the Ordnance,15570709,15570709,NA
William Maitland of Lethington,"Sir William Cecil, Lord Burghley",15711026,15711026,Edinburgh
Queen Elizabeth I,"Thomas Howard, 4th Duke of Norfolk",15590111,15590111,NA
Queen Elizabeth I,"Robert Weston, Lord Chancellor of Ireland",15680204,15680204,NA
Adolf Count de Neuwenar,Sir Francis Walsingham,15880805,15880805,Utrecht
George Touneshend,John Gygges,15330101,15331231,NA
Captain John Price,Sir Francis Walsingham,15860331,15860331,O'Donnell's Country
Thomas Scott,Sir Cuthbert Radclyff,15410611,15410611,Kelso
James Worseley,"Sir Robert Cecil, Earl of Salisbury",16030602,16030602,Dieppe
John Macartney,Robert Bowes,15950709,15950709,Edinburgh
Thomas Randolph,"Sir William Cecil, Lord Burghley",15860513,15860513,NA
"William FitzWilliam, 1st Earl of Southampton",Cardinal Thomas Wolsey,15210910,15210910,Troyes
"Georges de Selve, Bishop of Lavaur","Anne de Montmorency, Duc de Montmorency",15400210,15400210,Brussels
Thomas Randolph,"Sir William Cecil, Lord Burghley",15630613,15630613,Edinburgh
"Frederick IV, Elector Palatine","Sir William Cecil, Lord Burghley",15920206,15920206,Heidelberg
"Robert Devereux, Earl of Essex",Mr. C.,16000601,16000630,NA
Captain Robert Fowle,"Sir William Cecil, Lord Burghley",15930504,15930504,NA
"Robert Dudley, Earl of Leicester",Sir Francis Walsingham,15870916,15870916,NA
Nicholas Williamson,Henry Sachaverell,15921119,15921119,Sawley
"Edward Fiennes de Clinton, Earl of Lincoln","Sir William Cecil, Lord Burghley",15510902,15510902,NA
Eric Archbishop of Drontheim,Cardinal Thomas Wolsey,15210810,15210810,Ex Trajecto
"Edward Sutton, Lord Dudley","Thomas Cromwell, Earl of Essex",15361010,15361010,NA
Hen. Nevill,"Sir Robert Cecil, Earl of Salisbury",15990615,15990615,NA
Odet de Selve,The Admiral,15470120,15470120,London
Charles de Lanoy,Cardinal Thomas Wolsey,15250608,15250608,Genoa
Deputies of Hamburg,"Sir Robert Cecil, Earl of Salisbury",15990608,15990608,NA
Robert Mawe,Sir William Hollis,15360507,15360507,Calais
Lord Thomas Fitzmaurice of Kerry,Sir Henry Sidney,15760901,15760901,Lixnaw
"Sir Thomas Radcliffe, earl of Sussex",Queen Mary I,15570404,15570404,NA
"Jean de la Fin, Seigneur de Beauvoir la Nocle","Sir Robert Cecil, Earl of Salisbury",15950203,15950203,London
Gambaro Craso,Murad III,15930123,15931231,Antwerp
"William, Bishop of Norwich","Sir Robert Cecil, Earl of Salisbury",15960202,15960202,Norwich
Onorie ny Vic Brieane,"Sir William Cecil, Lord Burghley",15871107,15871110,NA
Commissioners of Musters for Buckinghamshire,Sir Christopher Hatton,15810201,15810228,NA
Queen Elizabeth I,Sir Henry Wallop,15821117,15821117,Windsor Castle
Viscount Hereford,Sir Francis Walsingham,15750928,15750928,Drogheda
Oudart du Bies,"Arthur Plantagenet, Lord Lisle",15380301,15380301,Boulogne
Henry VIII,Pope Clement VII,15310912,15310912,Ampthill
"John Maitland, Lord Maitland of Thirlestane",Sir Francis Walsingham,15860516,15860516,Holyrood House
Sir Henry Wallop,"Sir William Cecil, Lord Burghley",15830828,15830828,Dublin
Commissioners of Musters for Buckinghamshire,"Robert Dudley, Earl of Leicester",15810201,15810228,NA
Anthony Cave,John Johnson,15471015,15471015,Tickford
Ch&#x00E2;teaumartin,Sir Thomas Heneage,15900625,15900705,Bayonne
Privy Council,Sir Edward Carne,15451117,15451117,NA
Arthur Capell,"Sir Robert Cecil, Earl of Salisbury",15990812,15990812,NA
Rowland Argall,Sir Francis Walsingham,15840415,15840415,Dublin
Queen Mary I,Privy Council,15531001,15531031,NA
Queen Elizabeth I,Edward Stafford,15870115,15870119,NA
"Henry Howard, Earl of Northampton","Robert Devereux, Earl of Essex",15980901,15980930,NA
Michael Throckmorton (Throgmorton),"Edward Courtenay, Earl of Devon",15560317,15560317,NA
Nicholas Wotton,"William Paget, Lord Paget",15450722,15450722,Worms
Mayor of Boulogne,"Robert Devereux, Earl of Essex",15980802,15980812,NA
Mayor of Norwich,"Thomas Cromwell, Earl of Essex",15390408,15390408,NA
Council of Ireland,Queen Elizabeth I,15740912,15740912,Limerick
Joachim Gundelfinger,Privy Council,15520112,15520112,Dublin
Richard Johnson,John Johnson,15481205,15481205,Calais
"George Talbot, 6th Earl of Shrewsbury","Sir William Cecil, Lord Burghley",15700914,15700914,Chatsworth
"John Bourchier, Lord Berners",Henry VIII,15320208,15320208,Calais
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15830920,15830920,NA
Queen Elizabeth I,"Charles IX, King of France",15620817,15620817,NA
Wm. Alton,John Lee,15970704,15970704,Bristol
Colonel William Stewart,"Sir William Cecil, Lord Burghley",15901024,15901024,Edinburgh
Jacques de Segur-Pardaillan,"Sir William Cecil, Lord Burghley",15851022,15851022,Frankendal
Sir Ralph Sadler,"Charles Brandon, Duke of Suffolk",15430906,15430906,Edinburgh
Senate of Venice,Andrea Badoer,15100715,15100715,Venice
Privy Council,"Sir William Cecil, Lord Burghley",15600208,15600208,NA
Henry VIII,"Robert Aldrich, Bishop of Carlisle",15410703,15410703,Manor of Envile
Sir Richard Morysine,Privy Council,15530324,15530324,NA
Pope (Adrian VI.?),Ennius Bishop of Veroli,15220101,15221231,NA
Lord Henry Scrope,"Sir William Cecil, Lord Burghley",15670121,15670121,Carlisle
"Henry Hastings, Earl of Huntingdon",Sir Francis Walsingham,15770727,15770727,York
Thomas Brune,"Sir William Cecil, Lord Burghley",15720429,15720429,Antwerp
Queen Elizabeth I,Christopher Mont (Mundt),15591225,15591225,NA
"Thomas Manners, Earl of Rutland",Privy Council,15420902,15420902,Alnwick
Thomas Randolph,"Henry Carey, Lord Hunsdon",15720417,15720417,Leith
Mary Queen Regent of Flanders,Eustace Chapuys,15430329,15430329,NA
Sir Walter Mildmay,Thomas Fanshawe,15740629,15740629,NA
William Fowler,Sir Francis Walsingham,15830101,15830131,London
William Abbot of Kyngeswodd,"Thomas Cromwell, Earl of Essex",15350909,15350909,Kingeswodde
"Thomas Thirlby, Bishop of Westminster and Ely",Sir John Boxall,15580930,15580930,NA
Sir Richard Wingfield,Cardinal Thomas Wolsey,15150403,15150403,Paris
Geoffry Duckett,Company of Muscovy Merchants,15680812,15680812,Narva
John Plunket,"Conor O'Brien, Earl of Thomond",15640702,15640702,Dublin
Adrian de Croy,Sir John Wallop,15430402,15430402,Saint Omer
John Case,"Sir William Cecil, Lord Burghley",15710306,15710306,NA
