from,to,date_from,date_to,place_from,y_from,x_from,place_to,x_to,y_to
"Charles Howard, Baron Howard of Effingham, Earl of Nottingham",The Admiral of France,16010701,16010731,NA,NA,NA,NA,NA,NA
T.B.,"Sir William Cecil, Lord Burghley",15980101,15981231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Sir William Fitzwilliam,Privy Council,15900910,15900910,Kilmainham,NA,NA,Greenwich,-0,51.48
Isaac Wythers,Queen Elizabeth I,15980228,15980310,Paris,48.8567,2.3508,Greenwich,-0,51.48
Queen Mary I,Officers of the Ordnance,15570709,15570709,NA,NA,NA,NA,NA,NA
William Maitland of Lethington,"Sir William Cecil, Lord Burghley",15711026,15711026,Edinburgh,55.95305556,-3.188888889,Court of St. James,-0.1375,51.50472222
Queen Elizabeth I,"Thomas Howard, 4th Duke of Norfolk",15590111,15590111,NA,NA,NA,Newcastle-upon-Tyne,-1.608333333,54.97222222
Queen Elizabeth I,"Robert Weston, Lord Chancellor of Ireland",15680204,15680204,NA,NA,NA,Dublin,-6.259722222,53.34777778
Adolf Count de Neuwenar,Sir Francis Walsingham,15880805,15880805,Utrecht,52.08333333,5.116666667,Paris,2.3508,48.8567
George Touneshend,John Gygges,15330101,15331231,NA,NA,NA,NA,NA,NA
Captain John Price,Sir Francis Walsingham,15860331,15860331,O'Donnell's Country,NA,NA,Paris,2.3508,48.8567
Thomas Scott,Sir Cuthbert Radclyff,15410611,15410611,Kelso,55.59851111,-2.433569444,NA,NA,NA
James Worseley,"Sir Robert Cecil, Earl of Salisbury",16030602,16030602,Dieppe,49.92,1.08,Greenwich,-0,51.48
John Macartney,Robert Bowes,15950709,15950709,Edinburgh,55.95305556,-3.188888889,Edinburgh,-3.188888889,55.95305556
Thomas Randolph,"Sir William Cecil, Lord Burghley",15860513,15860513,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"William FitzWilliam, 1st Earl of Southampton",Cardinal Thomas Wolsey,15210910,15210910,Troyes,48.2997,4.0792,Westminster,-0.1333,51.4995
"Georges de Selve, Bishop of Lavaur","Anne de Montmorency, Duc de Montmorency",15400210,15400210,Brussels,50.85,4.35,NA,NA,NA
Thomas Randolph,"Sir William Cecil, Lord Burghley",15630613,15630613,Edinburgh,55.95305556,-3.188888889,Court of St. James,-0.1375,51.50472222
"Frederick IV, Elector Palatine","Sir William Cecil, Lord Burghley",15920206,15920206,Heidelberg,49.41666667,8.716666667,Court of St. James,-0.1375,51.50472222
"Robert Devereux, Earl of Essex",Mr. C.,16000601,16000630,NA,NA,NA,NA,NA,NA
Captain Robert Fowle,"Sir William Cecil, Lord Burghley",15930504,15930504,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Robert Dudley, Earl of Leicester",Sir Francis Walsingham,15870916,15870916,NA,NA,NA,Paris,2.3508,48.8567
Nicholas Williamson,Henry Sachaverell,15921119,15921119,Sawley,52.876,-1.297,NA,NA,NA
"Edward Fiennes de Clinton, Earl of Lincoln","Sir William Cecil, Lord Burghley",15510902,15510902,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Eric Archbishop of Drontheim,Cardinal Thomas Wolsey,15210810,15210810,Ex Trajecto,NA,NA,Westminster,-0.1333,51.4995
"Edward Sutton, Lord Dudley","Thomas Cromwell, Earl of Essex",15361010,15361010,NA,NA,NA,Hampton Court,-0.3375,51.40333333
